id,업종,브랜드,가맹사업 개월수,가맹점수,가맹점 평균매출액,창업비용,개점률,폐점률,개월수_r,가맹점수_r,평균매출액_r,창업비용_r,개점률_r,폐점률_r,레이블
203,기타 외식,김덕후의 곱창조,86,24,779384,121050,8,4,0.141284404,0.006806748,0.21547874,0.147262774,0.08,0.04,1
204,한식,김둘레순대국,68,16,472932,79450,25,12,0.108256881,0.004439183,0.130752668,0.096654501,0.25,0.12,1
205,한식,김명자낙지마당,146,42,450252,84950,19,64,0.251376147,0.012133767,0.124482233,0.103345499,0.19,0.64,0
206,기타 외식,김민성I'm넙띠기돈까스,50,7,203419,64700,28,0,0.075229358,0.001775673,0.056239276,0.078710462,0.28,0,1
207,분식,김밥제일가,59,11,176679,72370,27,0,0.091743119,0.002959455,0.048846356,0.088041363,0.27,0,1
208,주점,김복남맥주,29,40,257286,50950,92,10,0.036697248,0.011541876,0.071132112,0.061982968,0.92,0.1,3
209,주점,김봉남포장마차,71,17,237199,72950,11,11,0.113761468,0.004735129,0.065578575,0.088746959,0.11,0.11,1
210,기타 외식,김부삼,68,11,595530,106920,0,9,0.108256881,0.002959455,0.164647852,0.130072993,0,0.09,1
211,치킨,김성구의성마늘치킨,69,20,75955,47500,35,5,0.110091743,0.005622965,0.020998769,0.057785888,0.35,0.05,1
212,치킨,김순례 닭강정,37,13,251266,44200,69,0,0.051376147,0.003551347,0.069467737,0.05377129,0.69,0,3
213,치킨,김스타치킨,58,49,208524,77350,32,18,0.089908257,0.014205386,0.057650677,0.094099757,0.32,0.18,1
214,기타 외국식,김씨화덕,106,6,492803,157000,16,33,0.177981651,0.001479728,0.136246487,0.190997567,0.16,0.33,1
215,주점,김양비어,70,33,92266,56900,45,87,0.111926606,0.009470257,0.025508339,0.069221411,0.45,0.87,0
216,한식,김영화부대찌개,26,5,294015,104200,100,0,0.031192661,0.001183782,0.081286733,0.12676399,1,0,3
217,기타 외식,김영희강남동태찜,195,71,308855,104000,0,21,0.341284404,0.020716188,0.08538961,0.126520681,0,0.21,4
